City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Jalu,LY,2021-04-25 16:15:43,29.0331,21.5482,77.9,35,0,20.11,clear sky
250,Jijiga,ET,2021-04-25 16:15:43,9.35,42.8,65.39,83,99,6.78,moderate rain
251,Harper,LR,2021-04-25 16:12:41,4.375,-7.7169,83.53,71,100,8.52,overcast clouds
252,Ponta Do Sol,PT,2021-04-25 16:12:20,32.6667,-17.1,69.8,60,40,5.75,scattered clouds
253,Road Town,VG,2021-04-25 16:11:10,18.4167,-64.6167,82.4,65,40,10.36,scattered clouds
254,Mar Del Plata,AR,2021-04-25 16:13:35,-38.0023,-57.5575,64.4,63,75,16.11,broken clouds
255,Ancud,CL,2021-04-25 16:13:31,-41.8697,-73.8203,57.99,100,90,2.3,light intensity drizzle
256,Provideniya,RU,2021-04-25 16:12:47,64.3833,-173.3,32.77,96,97,3.36,overcast clouds
257,Mata,PT,2021-04-25 16:15:45,40.683,-7.4592,61.0,77,65,1.99,broken clouds
258,Ulladulla,AU,2021-04-25 16:15:45,-35.35,150.4667,51.8,100,40,5.75,scattered clouds
